 Perioade,Termekek,Szocialis_retegek,Lakhely,Mertekegyseg,Ertek
2001-01-01,Total,Total,Total,Litri,2.159
2002-01-01,Total,Total,Total,Litri,2.137
2003-01-01,Total,Total,Total,Litri,2.231
2004-01-01,Total,Total,Total,Litri,2.101
2005-01-01,Total,Total,Total,Litri,2.056
2006-01-01,Total,Total,Total,Litri,1.995
2007-01-01,Total,Total,Total,Litri,2.241
2008-01-01,Total,Total,Total,Litri,2.404
2009-01-01,Total,Total,Total,Litri,2.403
2010-01-01,Total,Total,Total,Litri,2.308
2011-01-01,Total,Total,Total,Litri,2.188
2012-01-01,Total,Total,Total,Litri,2.23
2013-01-01,Total,Total,Total,Litri,2.317
2014-01-01,Total,Total,Total,Litri,2.273
2015-01-01,Total,Total,Total,Litri,2.393
2016-01-01,Total,Total,Total,Litri,2.513
2017-01-01,Total,Total,Total,Litri,2.64
2018-01-01,Total,Total,Total,Litri,2.666
2019-01-01,Total,Total,Total,Litri,2.679
2020-01-01,Total,Total,Total,Litri,2.628
2021-01-01,Total,Total,Total,Litri,2.753
2022-01-01,Total,Total,Total,Litri,2.751
2001-01-01,Total,Total,Városi,Litri,1.561
2002-01-01,Total,Total,Városi,Litri,1.513
2003-01-01,Total,Total,Városi,Litri,1.624
2004-01-01,Total,Total,Városi,Litri,1.689
2005-01-01,Total,Total,Városi,Litri,1.678
2006-01-01,Total,Total,Városi,Litri,1.725
2007-01-01,Total,Total,Városi,Litri,1.949
2008-01-01,Total,Total,Városi,Litri,2.068
2009-01-01,Total,Total,Városi,Litri,2.018
2010-01-01,Total,Total,Városi,Litri,1.929
2011-01-01,Total,Total,Városi,Litri,1.817
2012-01-01,Total,Total,Városi,Litri,1.896
2013-01-01,Total,Total,Városi,Litri,2.033
2014-01-01,Total,Total,Városi,Litri,1.959
2015-01-01,Total,Total,Városi,Litri,2.079
2016-01-01,Total,Total,Városi,Litri,2.212
2017-01-01,Total,Total,Városi,Litri,2.35
2018-01-01,Total,Total,Városi,Litri,2.288
2019-01-01,Total,Total,Városi,Litri,2.377
2020-01-01,Total,Total,Városi,Litri,2.263
2021-01-01,Total,Total,Városi,Litri,2.41
2022-01-01,Total,Total,Városi,Litri,2.378
2001-01-01,Total,Total,Vidéki,Litri,2.846
2002-01-01,Total,Total,Vidéki,Litri,2.857
2003-01-01,Total,Total,Vidéki,Litri,2.9
2004-01-01,Total,Total,Vidéki,Litri,2.575
2005-01-01,Total,Total,Vidéki,Litri,2.504
2006-01-01,Total,Total,Vidéki,Litri,2.323
2007-01-01,Total,Total,Vidéki,Litri,2.596
2008-01-01,Total,Total,Vidéki,Litri,2.815
2009-01-01,Total,Total,Vidéki,Litri,2.871
2010-01-01,Total,Total,Vidéki,Litri,2.768
2011-01-01,Total,Total,Vidéki,Litri,2.64
2012-01-01,Total,Total,Vidéki,Litri,2.633
2013-01-01,Total,Total,Vidéki,Litri,2.661
2014-01-01,Total,Total,Vidéki,Litri,2.644
2015-01-01,Total,Total,Vidéki,Litri,2.762
2016-01-01,Total,Total,Vidéki,Litri,2.865
2017-01-01,Total,Total,Vidéki,Litri,2.978
2018-01-01,Total,Total,Vidéki,Litri,3.111
2019-01-01,Total,Total,Vidéki,Litri,3.035
2020-01-01,Total,Total,Vidéki,Litri,3.056
2021-01-01,Total,Total,Vidéki,Litri,3.158
2022-01-01,Total,Total,Vidéki,Litri,3.192
2001-01-01,Total,Alkalmazottak,Total,Litri,1.871
2002-01-01,Total,Alkalmazottak,Total,Litri,1.801
2003-01-01,Total,Alkalmazottak,Total,Litri,1.967
2004-01-01,Total,Alkalmazottak,Total,Litri,1.968
2005-01-01,Total,Alkalmazottak,Total,Litri,1.947
2006-01-01,Total,Alkalmazottak,Total,Litri,1.996
2007-01-01,Total,Alkalmazottak,Total,Litri,2.224
2008-01-01,Total,Alkalmazottak,Total,Litri,2.28
2009-01-01,Total,Alkalmazottak,Total,Litri,2.254
2010-01-01,Total,Alkalmazottak,Total,Litri,2.167
2011-01-01,Total,Alkalmazottak,Total,Litri,2.058
2012-01-01,Total,Alkalmazottak,Total,Litri,2.138
2013-01-01,Total,Alkalmazottak,Total,Litri,2.247
2014-01-01,Total,Alkalmazottak,Total,Litri,2.157
2015-01-01,Total,Alkalmazottak,Total,Litri,2.352
2016-01-01,Total,Alkalmazottak,Total,Litri,2.456
2017-01-01,Total,Alkalmazottak,Total,Litri,2.597
2018-01-01,Total,Alkalmazottak,Total,Litri,2.65
2019-01-01,Total,Alkalmazottak,Total,Litri,2.696
2020-01-01,Total,Alkalmazottak,Total,Litri,2.604
2021-01-01,Total,Alkalmazottak,Total,Litri,2.774
2022-01-01,Total,Alkalmazottak,Total,Litri,2.814
2001-01-01,Total,Alkalmazottak,Városi,Litri,1.649
2002-01-01,Total,Alkalmazottak,Városi,Litri,1.588
2003-01-01,Total,Alkalmazottak,Városi,Litri,1.77
2004-01-01,Total,Alkalmazottak,Városi,Litri,1.807
2005-01-01,Total,Alkalmazottak,Városi,Litri,1.806
2006-01-01,Total,Alkalmazottak,Városi,Litri,1.88
2007-01-01,Total,Alkalmazottak,Városi,Litri,2.116
2008-01-01,Total,Alkalmazottak,Városi,Litri,2.165
2009-01-01,Total,Alkalmazottak,Városi,Litri,2.131
2010-01-01,Total,Alkalmazottak,Városi,Litri,2.036
2011-01-01,Total,Alkalmazottak,Városi,Litri,1.919
2012-01-01,Total,Alkalmazottak,Városi,Litri,2.053
2013-01-01,Total,Alkalmazottak,Városi,Litri,2.169
2014-01-01,Total,Alkalmazottak,Városi,Litri,2.084
2015-01-01,Total,Alkalmazottak,Városi,Litri,2.213
2016-01-01,Total,Alkalmazottak,Városi,Litri,2.312
2017-01-01,Total,Alkalmazottak,Városi,Litri,2.464
2018-01-01,Total,Alkalmazottak,Városi,Litri,2.424
2019-01-01,Total,Alkalmazottak,Városi,Litri,2.554
2020-01-01,Total,Alkalmazottak,Városi,Litri,2.366
2021-01-01,Total,Alkalmazottak,Városi,Litri,2.58
2022-01-01,Total,Alkalmazottak,Városi,Litri,2.538
2001-01-01,Total,Alkalmazottak,Vidéki,Litri,2.577
2002-01-01,Total,Alkalmazottak,Vidéki,Litri,2.501
2003-01-01,Total,Alkalmazottak,Vidéki,Litri,2.566
2004-01-01,Total,Alkalmazottak,Vidéki,Litri,2.411
2005-01-01,Total,Alkalmazottak,Vidéki,Litri,2.379
2006-01-01,Total,Alkalmazottak,Vidéki,Litri,2.333
2007-01-01,Total,Alkalmazottak,Vidéki,Litri,2.53
2008-01-01,Total,Alkalmazottak,Vidéki,Litri,2.585
2009-01-01,Total,Alkalmazottak,Vidéki,Litri,2.577
2010-01-01,Total,Alkalmazottak,Vidéki,Litri,2.52
2011-01-01,Total,Alkalmazottak,Vidéki,Litri,2.441
2012-01-01,Total,Alkalmazottak,Vidéki,Litri,2.358
2013-01-01,Total,Alkalmazottak,Vidéki,Litri,2.456
2014-01-01,Total,Alkalmazottak,Vidéki,Litri,2.344
2015-01-01,Total,Alkalmazottak,Vidéki,Litri,2.648
2016-01-01,Total,Alkalmazottak,Vidéki,Litri,2.762
2017-01-01,Total,Alkalmazottak,Vidéki,Litri,2.852
2018-01-01,Total,Alkalmazottak,Vidéki,Litri,3.084
2019-01-01,Total,Alkalmazottak,Vidéki,Litri,2.977
2020-01-01,Total,Alkalmazottak,Vidéki,Litri,3.034
2021-01-01,Total,Alkalmazottak,Vidéki,Litri,3.124
2022-01-01,Total,Alkalmazottak,Vidéki,Litri,3.3
2001-01-01,Total,Munkanélküliek,Total,Litri,1.552
2002-01-01,Total,Munkanélküliek,Total,Litri,1.438
2003-01-01,Total,Munkanélküliek,Total,Litri,1.585
2004-01-01,Total,Munkanélküliek,Total,Litri,1.558
2005-01-01,Total,Munkanélküliek,Total,Litri,1.533
2006-01-01,Total,Munkanélküliek,Total,Litri,1.454
2007-01-01,Total,Munkanélküliek,Total,Litri,1.584
2008-01-01,Total,Munkanélküliek,Total,Litri,1.704
2009-01-01,Total,Munkanélküliek,Total,Litri,1.681
2010-01-01,Total,Munkanélküliek,Total,Litri,1.667
2011-01-01,Total,Munkanélküliek,Total,Litri,1.591
2012-01-01,Total,Munkanélküliek,Total,Litri,1.551
2013-01-01,Total,Munkanélküliek,Total,Litri,1.67
2014-01-01,Total,Munkanélküliek,Total,Litri,1.569
2015-01-01,Total,Munkanélküliek,Total,Litri,2.023
2016-01-01,Total,Munkanélküliek,Total,Litri,1.965
2017-01-01,Total,Munkanélküliek,Total,Litri,1.833
2018-01-01,Total,Munkanélküliek,Total,Litri,1.95
2019-01-01,Total,Munkanélküliek,Total,Litri,2.232
2020-01-01,Total,Munkanélküliek,Total,Litri,2.003
2021-01-01,Total,Munkanélküliek,Total,Litri,2.028
2022-01-01,Total,Munkanélküliek,Total,Litri,2.025
2001-01-01,Total,Munkanélküliek,Városi,Litri,1.162
2002-01-01,Total,Munkanélküliek,Városi,Litri,1.244
2003-01-01,Total,Munkanélküliek,Városi,Litri,1.215
2004-01-01,Total,Munkanélküliek,Városi,Litri,1.444
2005-01-01,Total,Munkanélküliek,Városi,Litri,1.446
2006-01-01,Total,Munkanélküliek,Városi,Litri,1.339
2007-01-01,Total,Munkanélküliek,Városi,Litri,1.625
2008-01-01,Total,Munkanélküliek,Városi,Litri,1.573
2009-01-01,Total,Munkanélküliek,Városi,Litri,1.558
2010-01-01,Total,Munkanélküliek,Városi,Litri,1.462
2011-01-01,Total,Munkanélküliek,Városi,Litri,1.329
2012-01-01,Total,Munkanélküliek,Városi,Litri,1.409
2013-01-01,Total,Munkanélküliek,Városi,Litri,1.664
2014-01-01,Total,Munkanélküliek,Városi,Litri,1.542
2015-01-01,Total,Munkanélküliek,Városi,Litri,1.886
2016-01-01,Total,Munkanélküliek,Városi,Litri,2.066
2017-01-01,Total,Munkanélküliek,Városi,Litri,1.702
2018-01-01,Total,Munkanélküliek,Városi,Litri,1.859
2019-01-01,Total,Munkanélküliek,Városi,Litri,2.214
2020-01-01,Total,Munkanélküliek,Városi,Litri,1.799
2021-01-01,Total,Munkanélküliek,Városi,Litri,1.881
2022-01-01,Total,Munkanélküliek,Városi,Litri,1.839
2001-01-01,Total,Munkanélküliek,Vidéki,Litri,2.22
2002-01-01,Total,Munkanélküliek,Vidéki,Litri,1.777
2003-01-01,Total,Munkanélküliek,Vidéki,Litri,2.287
2004-01-01,Total,Munkanélküliek,Vidéki,Litri,1.746
2005-01-01,Total,Munkanélküliek,Vidéki,Litri,1.677
2006-01-01,Total,Munkanélküliek,Vidéki,Litri,1.617
2007-01-01,Total,Munkanélküliek,Vidéki,Litri,1.514
2008-01-01,Total,Munkanélküliek,Vidéki,Litri,1.894
2009-01-01,Total,Munkanélküliek,Vidéki,Litri,1.94
2010-01-01,Total,Munkanélküliek,Vidéki,Litri,2.067
2011-01-01,Total,Munkanélküliek,Vidéki,Litri,2.104
2012-01-01,Total,Munkanélküliek,Vidéki,Litri,1.8
2013-01-01,Total,Munkanélküliek,Vidéki,Litri,1.681
2014-01-01,Total,Munkanélküliek,Vidéki,Litri,1.619
2015-01-01,Total,Munkanélküliek,Vidéki,Litri,2.207
2016-01-01,Total,Munkanélküliek,Vidéki,Litri,1.832
2017-01-01,Total,Munkanélküliek,Vidéki,Litri,1.988
2018-01-01,Total,Munkanélküliek,Vidéki,Litri,2.03
2019-01-01,Total,Munkanélküliek,Vidéki,Litri,2.251
2020-01-01,Total,Munkanélküliek,Vidéki,Litri,2.284
2021-01-01,Total,Munkanélküliek,Vidéki,Litri,2.16
2022-01-01,Total,Munkanélküliek,Vidéki,Litri,2.226
2001-01-01,Total,Nyugdíjasok,Total,Litri,2.457
2002-01-01,Total,Nyugdíjasok,Total,Litri,2.425
2003-01-01,Total,Nyugdíjasok,Total,Litri,2.457
2004-01-01,Total,Nyugdíjasok,Total,Litri,2.3
2005-01-01,Total,Nyugdíjasok,Total,Litri,2.152
2006-01-01,Total,Nyugdíjasok,Total,Litri,2.018
2007-01-01,Total,Nyugdíjasok,Total,Litri,2.227
2008-01-01,Total,Nyugdíjasok,Total,Litri,2.484
2009-01-01,Total,Nyugdíjasok,Total,Litri,2.516
2010-01-01,Total,Nyugdíjasok,Total,Litri,2.459
2011-01-01,Total,Nyugdíjasok,Total,Litri,2.244
2012-01-01,Total,Nyugdíjasok,Total,Litri,2.279
2013-01-01,Total,Nyugdíjasok,Total,Litri,2.395
2014-01-01,Total,Nyugdíjasok,Total,Litri,2.358
2015-01-01,Total,Nyugdíjasok,Total,Litri,2.42
2016-01-01,Total,Nyugdíjasok,Total,Litri,2.526
2017-01-01,Total,Nyugdíjasok,Total,Litri,2.656
2018-01-01,Total,Nyugdíjasok,Total,Litri,2.634
2019-01-01,Total,Nyugdíjasok,Total,Litri,2.581
2020-01-01,Total,Nyugdíjasok,Total,Litri,2.622
2021-01-01,Total,Nyugdíjasok,Total,Litri,2.616
2022-01-01,Total,Nyugdíjasok,Total,Litri,2.604
2001-01-01,Total,Nyugdíjasok,Városi,Litri,1.508
2002-01-01,Total,Nyugdíjasok,Városi,Litri,1.412
2003-01-01,Total,Nyugdíjasok,Városi,Litri,1.488
2004-01-01,Total,Nyugdíjasok,Városi,Litri,1.545
2005-01-01,Total,Nyugdíjasok,Városi,Litri,1.479
2006-01-01,Total,Nyugdíjasok,Városi,Litri,1.526
2007-01-01,Total,Nyugdíjasok,Városi,Litri,1.685
2008-01-01,Total,Nyugdíjasok,Városi,Litri,1.899
2009-01-01,Total,Nyugdíjasok,Városi,Litri,1.909
2010-01-01,Total,Nyugdíjasok,Városi,Litri,1.84
2011-01-01,Total,Nyugdíjasok,Városi,Litri,1.713
2012-01-01,Total,Nyugdíjasok,Városi,Litri,1.722
2013-01-01,Total,Nyugdíjasok,Városi,Litri,1.917
2014-01-01,Total,Nyugdíjasok,Városi,Litri,1.833
2015-01-01,Total,Nyugdíjasok,Városi,Litri,1.941
2016-01-01,Total,Nyugdíjasok,Városi,Litri,2.084
2017-01-01,Total,Nyugdíjasok,Városi,Litri,2.199
2018-01-01,Total,Nyugdíjasok,Városi,Litri,2.142
2019-01-01,Total,Nyugdíjasok,Városi,Litri,2.075
2020-01-01,Total,Nyugdíjasok,Városi,Litri,2.099
2021-01-01,Total,Nyugdíjasok,Városi,Litri,2.123
2022-01-01,Total,Nyugdíjasok,Városi,Litri,2.147
2001-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.255
2002-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.258
2003-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.231
2004-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.928
2005-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.749
2006-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.468
2007-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.717
2008-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.038
2009-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.087
2010-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.019
2011-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.755
2012-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.828
2013-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.864
2014-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.866
2015-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.892
2016-01-01,Total,Nyugdíjasok,Vidéki,Litri,2.954
2017-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.147
2018-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.155
2019-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.082
2020-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.165
2021-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.131
2022-01-01,Total,Nyugdíjasok,Vidéki,Litri,3.09
2001-01-01,Bor,Total,Total,Litri,1.275
2002-01-01,Bor,Total,Total,Litri,1.28
2003-01-01,Bor,Total,Total,Litri,1.28
2004-01-01,Bor,Total,Total,Litri,1.097
2005-01-01,Bor,Total,Total,Litri,0.984
2006-01-01,Bor,Total,Total,Litri,0.824
2007-01-01,Bor,Total,Total,Litri,0.905
2008-01-01,Bor,Total,Total,Litri,0.933
2009-01-01,Bor,Total,Total,Litri,0.969
2010-01-01,Bor,Total,Total,Litri,0.942
2011-01-01,Bor,Total,Total,Litri,0.864
2012-01-01,Bor,Total,Total,Litri,0.874
2013-01-01,Bor,Total,Total,Litri,0.876
2014-01-01,Bor,Total,Total,Litri,0.886
2015-01-01,Bor,Total,Total,Litri,0.874
2016-01-01,Bor,Total,Total,Litri,0.893
2017-01-01,Bor,Total,Total,Litri,0.892
2018-01-01,Bor,Total,Total,Litri,0.887
2019-01-01,Bor,Total,Total,Litri,0.885
2020-01-01,Bor,Total,Total,Litri,0.837
2021-01-01,Bor,Total,Total,Litri,0.84
2022-01-01,Bor,Total,Total,Litri,0.902
2001-01-01,Bor,Total,Városi,Litri,0.741
2002-01-01,Bor,Total,Városi,Litri,0.724
2003-01-01,Bor,Total,Városi,Litri,0.702
2004-01-01,Bor,Total,Városi,Litri,0.699
2005-01-01,Bor,Total,Városi,Litri,0.627
2006-01-01,Bor,Total,Városi,Litri,0.545
2007-01-01,Bor,Total,Városi,Litri,0.611
2008-01-01,Bor,Total,Városi,Litri,0.617
2009-01-01,Bor,Total,Városi,Litri,0.624
2010-01-01,Bor,Total,Városi,Litri,0.603
2011-01-01,Bor,Total,Városi,Litri,0.58
2012-01-01,Bor,Total,Városi,Litri,0.575
2013-01-01,Bor,Total,Városi,Litri,0.58
2014-01-01,Bor,Total,Városi,Litri,0.602
2015-01-01,Bor,Total,Városi,Litri,0.607
2016-01-01,Bor,Total,Városi,Litri,0.636
2017-01-01,Bor,Total,Városi,Litri,0.648
2018-01-01,Bor,Total,Városi,Litri,0.637
2019-01-01,Bor,Total,Városi,Litri,0.693
2020-01-01,Bor,Total,Városi,Litri,0.607
2021-01-01,Bor,Total,Városi,Litri,0.638
2022-01-01,Bor,Total,Városi,Litri,0.662
2001-01-01,Bor,Total,Vidéki,Litri,1.889
2002-01-01,Bor,Total,Vidéki,Litri,1.923
2003-01-01,Bor,Total,Vidéki,Litri,1.916
2004-01-01,Bor,Total,Vidéki,Litri,1.554
2005-01-01,Bor,Total,Vidéki,Litri,1.406
2006-01-01,Bor,Total,Vidéki,Litri,1.162
2007-01-01,Bor,Total,Vidéki,Litri,1.262
2008-01-01,Bor,Total,Vidéki,Litri,1.318
2009-01-01,Bor,Total,Vidéki,Litri,1.388
2010-01-01,Bor,Total,Vidéki,Litri,1.354
2011-01-01,Bor,Total,Vidéki,Litri,1.21
2012-01-01,Bor,Total,Vidéki,Litri,1.235
2013-01-01,Bor,Total,Vidéki,Litri,1.235
2014-01-01,Bor,Total,Vidéki,Litri,1.22
2015-01-01,Bor,Total,Vidéki,Litri,1.186
2016-01-01,Bor,Total,Vidéki,Litri,1.194
2017-01-01,Bor,Total,Vidéki,Litri,1.177
2018-01-01,Bor,Total,Vidéki,Litri,1.181
2019-01-01,Bor,Total,Vidéki,Litri,1.112
2020-01-01,Bor,Total,Vidéki,Litri,1.108
